source,det_index,label_id,class_name,score,x1,y1,x2,y2,crop_file
img_az090_el-10_noon_clear_operational_v00,0,2,bird,0.5864,249.3,244.3,265.3,260.4,img_az090_el-10_noon_clear_operational_v00_det00_bird_0.59.jpg
img_az090_el-10_noon_clear_operational_v00,1,0,airplane,0.5363,250.3,244.6,265.3,260.7,img_az090_el-10_noon_clear_operational_v00_det01_airplane_0.54.jpg
img_az090_el-35_dusk_operational_v00,0,1,helicopter,0.4809,243.6,232.1,267.1,271.3,img_az090_el-35_dusk_operational_v00_det00_helicopter_0.48.jpg
img_az090_el-35_dusk_operational_v00,1,0,airplane,0.3567,242.3,231.5,266.9,273.1,img_az090_el-35_dusk_operational_v00_det01_airplane_0.36.jpg
img_az090_el-35_morning_operational_v00,0,1,helicopter,0.5761,248.4,234.2,271.4,271.9,img_az090_el-35_morning_operational_v00_det00_helicopter_0.58.jpg
img_az090_el-35_noon_clear_operational_v00,0,0,airplane,0.4474,240.3,242.1,265.2,272.3,img_az090_el-35_noon_clear_operational_v00_det00_airplane_0.45.jpg
img_az090_el-35_noon_clear_operational_v00,1,2,bird,0.3867,241.1,242.9,264.3,271.9,img_az090_el-35_noon_clear_operational_v00_det01_bird_0.39.jpg
img_az090_el-60_dusk_operational_v00,0,1,helicopter,0.737,241.3,238.2,264.3,279.2,img_az090_el-60_dusk_operational_v00_det00_helicopter_0.74.jpg
img_az090_el-60_dusk_operational_v00,1,1,helicopter,0.7057,241.6,239.2,262.0,266.1,img_az090_el-60_dusk_operational_v00_det01_helicopter_0.71.jpg
img_az090_el-60_morning_operational_v00,0,1,helicopter,0.4691,241.8,225.7,269.2,281.1,img_az090_el-60_morning_operational_v00_det00_helicopter_0.47.jpg
img_az135_el-10_dusk_operational_v00,0,0,airplane,0.7151,236.4,249.9,273.2,263.7,img_az135_el-10_dusk_operational_v00_det00_airplane_0.72.jpg
img_az135_el-10_morning_operational_v00,0,0,airplane,0.6159,237.3,249.3,271.3,258.7,
img_az135_el-35_dusk_operational_v00,0,1,helicopter,0.4421,231.0,230.8,274.6,269.2,img_az135_el-35_dusk_operational_v00_det00_helicopter_0.44.jpg
img_az135_el-35_dusk_operational_v00,1,2,bird,0.4026,232.3,231.3,274.8,268.6,img_az135_el-35_dusk_operational_v00_det01_bird_0.40.jpg
img_az135_el-35_morning_operational_v00,0,2,bird,0.38,237.0,235.2,271.6,267.8,img_az135_el-35_morning_operational_v00_det00_bird_0.38.jpg
img_az135_el-35_morning_operational_v00,1,1,helicopter,0.3703,236.2,236.3,271.8,267.0,img_az135_el-35_morning_operational_v00_det01_helicopter_0.37.jpg
img_az135_el-35_noon_clear_operational_v00,0,1,helicopter,0.3325,241.8,235.0,267.0,272.5,img_az135_el-35_noon_clear_operational_v00_det00_helicopter_0.33.jpg
img_az135_el-60_dusk_operational_v00,0,1,helicopter,0.4791,243.1,231.6,264.0,279.3,img_az135_el-60_dusk_operational_v00_det00_helicopter_0.48.jpg
img_az135_el-60_dusk_operational_v00,1,1,helicopter,0.3263,240.7,235.8,260.9,260.1,img_az135_el-60_dusk_operational_v00_det01_helicopter_0.33.jpg
img_az135_el-60_morning_operational_v00,0,1,helicopter,0.5456,239.6,237.1,272.6,281.4,img_az135_el-60_morning_operational_v00_det00_helicopter_0.55.jpg
img_az135_el-60_morning_operational_v00,1,2,bird,0.372,240.6,237.2,271.2,280.2,img_az135_el-60_morning_operational_v00_det01_bird_0.37.jpg
img_az135_el-60_morning_operational_v00,2,0,airplane,0.3471,240.6,237.2,271.2,280.2,img_az135_el-60_morning_operational_v00_det02_airplane_0.35.jpg
img_az135_el-60_noon_clear_operational_v00,0,1,helicopter,0.6761,228.2,247.9,284.7,266.2,img_az135_el-60_noon_clear_operational_v00_det00_helicopter_0.68.jpg
img_az135_el-60_noon_clear_operational_v00,1,0,airplane,0.5236,228.6,247.9,283.9,265.2,img_az135_el-60_noon_clear_operational_v00_det01_airplane_0.52.jpg
img_az180_el-10_dusk_operational_v00,0,0,airplane,0.6456,224.2,247.1,285.3,260.5,img_az180_el-10_dusk_operational_v00_det00_airplane_0.65.jpg
img_az180_el-10_dusk_operational_v00,1,1,helicopter,0.3412,226.3,246.2,284.9,260.8,img_az180_el-10_dusk_operational_v00_det01_helicopter_0.34.jpg
img_az180_el-10_morning_operational_v00,0,1,helicopter,0.3955,227.8,242.9,279.3,270.5,img_az180_el-10_morning_operational_v00_det00_helicopter_0.40.jpg
img_az180_el-10_morning_operational_v00,1,0,airplane,0.2745,227.3,243.8,278.5,271.2,img_az180_el-10_morning_operational_v00_det01_airplane_0.27.jpg
img_az180_el-10_morning_operational_v00,2,2,bird,0.259,227.7,244.0,277.5,273.0,img_az180_el-10_morning_operational_v00_det02_bird_0.26.jpg
img_az180_el-35_noon_clear_operational_v00,0,1,helicopter,0.2832,229.2,249.8,277.1,269.9,img_az180_el-35_noon_clear_operational_v00_det00_helicopter_0.28.jpg
img_az180_el-60_dusk_operational_v00,0,1,helicopter,0.5087,225.7,245.1,283.6,260.2,img_az180_el-60_dusk_operational_v00_det00_helicopter_0.51.jpg
img_az180_el-60_morning_operational_v00,0,1,helicopter,0.6686,222.7,247.6,283.8,266.4,img_az180_el-60_morning_operational_v00_det00_helicopter_0.67.jpg
img_az180_el-60_noon_clear_operational_v00,0,1,helicopter,0.5793,225.7,246.3,281.5,262.9,img_az180_el-60_noon_clear_operational_v00_det00_helicopter_0.58.jpg
img_az180_el-60_noon_clear_operational_v00,1,0,airplane,0.3241,225.1,246.2,284.2,262.7,img_az180_el-60_noon_clear_operational_v00_det01_airplane_0.32.jpg
img_az225_el-10_dusk_operational_v00,0,0,airplane,0.8554,226.8,253.0,278.1,264.7,img_az225_el-10_dusk_operational_v00_det00_airplane_0.86.jpg
img_az225_el-10_morning_operational_v00,0,0,airplane,0.8439,240.9,248.4,282.7,259.3,img_az225_el-10_morning_operational_v00_det00_airplane_0.84.jpg
img_az225_el-10_noon_clear_operational_v00,0,1,helicopter,0.5743,248.0,250.7,260.5,260.9,img_az225_el-10_noon_clear_operational_v00_det00_helicopter_0.57.jpg
img_az225_el-35_morning_operational_v00,0,1,helicopter,0.6422,238.2,246.0,283.9,258.8,img_az225_el-35_morning_operational_v00_det00_helicopter_0.64.jpg
img_az225_el-35_noon_clear_operational_v00,0,2,bird,0.2993,235.3,237.0,273.4,273.8,img_az225_el-35_noon_clear_operational_v00_det00_bird_0.30.jpg
img_az225_el-60_dusk_operational_v00,0,0,airplane,0.4748,234.1,251.5,281.5,266.0,img_az225_el-60_dusk_operational_v00_det00_airplane_0.47.jpg
img_az225_el-60_dusk_operational_v00,1,1,helicopter,0.2772,234.7,251.8,282.4,266.1,img_az225_el-60_dusk_operational_v00_det01_helicopter_0.28.jpg
img_az225_el-60_morning_operational_v00,0,2,bird,0.5113,243.3,240.8,282.7,277.7,img_az225_el-60_morning_operational_v00_det00_bird_0.51.jpg
img_az225_el-60_morning_operational_v00,1,1,helicopter,0.4823,243.2,240.6,283.1,277.6,img_az225_el-60_morning_operational_v00_det01_helicopter_0.48.jpg
img_az225_el-60_noon_clear_operational_v00,0,1,helicopter,0.7095,233.8,235.8,287.3,277.1,img_az225_el-60_noon_clear_operational_v00_det00_helicopter_0.71.jpg
img_az225_el-60_noon_clear_operational_v00,1,0,airplane,0.4888,233.0,235.2,285.3,278.1,img_az225_el-60_noon_clear_operational_v00_det01_airplane_0.49.jpg
img_az225_el-60_noon_clear_operational_v00,2,2,bird,0.3144,233.8,236.1,285.8,277.4,img_az225_el-60_noon_clear_operational_v00_det02_bird_0.31.jpg
img_az270_el-10_dusk_operational_v00,0,2,bird,0.599,251.5,244.8,263.4,265.6,img_az270_el-10_dusk_operational_v00_det00_bird_0.60.jpg
img_az270_el-10_dusk_operational_v00,1,1,helicopter,0.2926,251.0,244.5,263.5,265.5,img_az270_el-10_dusk_operational_v00_det01_helicopter_0.29.jpg
img_az270_el-10_morning_operational_v00,0,0,airplane,0.7789,249.8,246.5,267.5,259.4,img_az270_el-10_morning_operational_v00_det00_airplane_0.78.jpg
img_az270_el-10_noon_clear_operational_v00,0,0,airplane,0.8704,240.7,247.5,263.8,259.3,img_az270_el-10_noon_clear_operational_v00_det00_airplane_0.87.jpg
img_az270_el-35_dusk_operational_v00,0,1,helicopter,0.5665,250.1,235.9,270.3,269.2,img_az270_el-35_dusk_operational_v00_det00_helicopter_0.57.jpg
img_az270_el-35_morning_operational_v00,0,0,airplane,0.2864,242.6,234.9,263.0,267.2,img_az270_el-35_morning_operational_v00_det00_airplane_0.29.jpg
img_az270_el-35_noon_clear_operational_v00,0,1,helicopter,0.4051,250.2,244.5,270.8,271.9,img_az270_el-35_noon_clear_operational_v00_det00_helicopter_0.41.jpg
img_az270_el-35_noon_clear_operational_v00,1,0,airplane,0.2587,248.2,241.5,272.9,273.0,img_az270_el-35_noon_clear_operational_v00_det01_airplane_0.26.jpg
img_az270_el-60_dusk_operational_v00,0,0,airplane,0.2868,243.2,226.4,275.1,284.9,img_az270_el-60_dusk_operational_v00_det00_airplane_0.29.jpg
img_az270_el-60_morning_operational_v00,0,1,helicopter,0.486,238.5,228.3,262.1,284.2,img_az270_el-60_morning_operational_v00_det00_helicopter_0.49.jpg
img_az270_el-60_morning_operational_v00,1,0,airplane,0.3028,238.5,228.2,262.5,285.8,img_az270_el-60_morning_operational_v00_det01_airplane_0.30.jpg
img_az270_el-60_noon_clear_operational_v00,0,1,helicopter,0.3421,243.5,235.5,265.9,282.1,img_az270_el-60_noon_clear_operational_v00_det00_helicopter_0.34.jpg
img_az315_el-10_dusk_operational_v00,0,0,airplane,0.5825,240.2,235.8,282.5,263.4,img_az315_el-10_dusk_operational_v00_det00_airplane_0.58.jpg
img_az315_el-10_dusk_operational_v00,1,2,bird,0.3317,239.9,236.0,282.7,262.1,img_az315_el-10_dusk_operational_v00_det01_bird_0.33.jpg
img_az315_el-10_dusk_operational_v00,2,1,helicopter,0.2986,240.5,236.1,282.5,261.4,img_az315_el-10_dusk_operational_v00_det02_helicopter_0.30.jpg
img_az315_el-10_morning_operational_v00,0,0,airplane,0.8911,237.3,247.2,273.0,263.8,img_az315_el-10_morning_operational_v00_det00_airplane_0.89.jpg
img_az315_el-10_noon_clear_operational_v00,0,0,airplane,0.9046,237.0,248.4,276.8,269.6,img_az315_el-10_noon_clear_operational_v00_det00_airplane_0.90.jpg
img_az315_el-35_dusk_operational_v00,0,1,helicopter,0.6702,241.8,237.9,270.8,274.0,img_az315_el-35_dusk_operational_v00_det00_helicopter_0.67.jpg
img_az315_el-35_dusk_operational_v00,1,1,helicopter,0.3541,243.9,249.5,270.2,273.7,img_az315_el-35_dusk_operational_v00_det01_helicopter_0.35.jpg
img_az315_el-35_morning_operational_v00,0,0,airplane,0.9165,235.6,245.3,283.1,264.6,img_az315_el-35_morning_operational_v00_det00_airplane_0.92.jpg
img_az315_el-35_noon_clear_operational_v00,0,0,airplane,0.9128,239.0,246.3,279.5,263.8,img_az315_el-35_noon_clear_operational_v00_det00_airplane_0.91.jpg
img_az315_el-60_dusk_operational_v00,0,1,helicopter,0.6015,241.3,231.6,269.2,279.6,img_az315_el-60_dusk_operational_v00_det00_helicopter_0.60.jpg
img_az315_el-60_morning_operational_v00,0,1,helicopter,0.6714,243.3,244.5,273.6,278.5,img_az315_el-60_morning_operational_v00_det00_helicopter_0.67.jpg
img_az315_el-60_noon_clear_operational_v00,0,0,airplane,0.9038,232.9,240.8,277.5,269.3,img_az315_el-60_noon_clear_operational_v00_det00_airplane_0.90.jpg
